Shunlist as of Mon, 21 Jul 2014 13:30:02 -0500
1.93.25.165,2014-07-11 09:58:15,SSH Brute Force
1.93.26.130,2014-07-14 09:55:26,SSH Brute Force
1.93.30.188,2014-07-09 08:36:42,SSH Brute Force
1.93.34.230,2014-07-16 08:01:23,SSH Brute Force
1.169.130.159,2014-07-07 23:10:08,Attempted MS SQL Server version enumeration
1.214.212.74,2014-07-09 03:35:12,SSH Brute Force
1.235.28.170,2014-07-16 03:13:39,SSH Brute Force
2.133.208.102,2014-07-16 23:48:25,Malware Distribution Site
2.184.57.192,2014-07-21 02:26:17,Teminal Server (RDP) brute force
4.31.171.50,2014-07-07 06:58:50,Sipvicious Scan
5.1.13.241,2014-07-16 23:48:23,Malware Distribution Site
5.104.226.12,2014-07-16 09:01:23,SSH Brute Force
5.135.112.45,2014-07-21 08:01:22,Sipvicious Scan
5.135.176.35,2014-07-12 16:18:47,SSH Brute Force
5.148.172.116,2014-07-07 06:58:09,SSH Brute Force
5.159.232.139,2014-07-07 06:58:09,SSH Brute Force
5.178.71.246,2014-07-20 21:16:07,SSH Brute Force
5.199.165.189,2014-07-19 05:48:09,Sipvicious Scan
5.199.166.61,2014-07-20 08:06:28,Sipvicious Scan
