
#
# Prior VABL list can be viewed at www.infiltrated.net/vabl-q1-2011.txt
# Prior VABL list can be viewed at www.infiltrated.net/vabl-q2-2011.txt

# WARNING: The new addition to this list is "APT" which is short for the
# listed here, it is listed for a reason. Use/block those IP addresses
# obvious "Advanced Persistent Threat" buzzword. The hosts listed with
# this flag are either C&C sources, pivots, and so forth. If it is
# with caution


108.59.1.205 | BRU | VABL | 20110609 | e22b6e201b3533a0dd1ac8bb47426169 | 30633 | 108.59.0.0/20 | LEASEWEB-US | US | - | LEASEWEB USA INC
108.59.1.205 | BRU | VABL | 20110708 | 8850509672ee7d983d9a511e31b13a9a | 30633 | 108.59.0.0/20 | LEASEWEB-US | US | - | LEASEWEB USA INC
108.59.1.5 | BRU | VABL | 20110726 | 4fd0c880f8cbe31e4efc18890b4ac51a | 30633 | 108.59.0.0/20 | LEASEWEB-US | US | - | LEASEWEB USA INC
108.59.1.5 | BRU | VABL | 20110726 | fb17621acd4b0626c80ba8e66e963518 | 30633 | 108.59.0.0/20 | LEASEWEB-US | US | - | LEASEWEB USA INC
108.59.1.5 | BRU | VABL | 20110727 | 8850509672ee7d983d9a511e31b13a9a | 30633 | 108.59.0.0/20 | LEASEWEB-US | US | - | LEASEWEB USA INC
108.59.1.5 | BRU | VABL | 20110729 | 8850509672ee7d983d9a511e31b13a9a | 30633 | 108.59.0.0/20 | LEASEWEB-US | US | - | LEASEWEB USA INC
108.59.1.5 | BRU | VABL | 20110730 | 8850509672ee7d983d9a511e31b13a9a | 30633 | 108.59.0.0/20 | LEASEWEB-US | US | - | LEASEWEB USA INC
108.59.5.139 | BRU | VABL | 20110720 | 4fd0c880f8cbe31e4efc18890b4ac51a | 30633 | 108.59.0.0/20 | LEASEWEB-US | US | - | LEASEWEB USA INC
108.59.5.139 | BRU | VABL | 20110720 | fb17621acd4b0626c80ba8e66e963518 | 30633 | 108.59.0.0/20 | LEASEWEB-US | US | - | LEASEWEB USA INC
108.59.5.139 | BRU | VABL | 20110725 | 8850509672ee7d983d9a511e31b13a9a | 30633 | 108.59.0.0/20 | LEASEWEB-US | US | - | LEASEWEB USA INC
108.85.139.165 | BRU | VABL | 20110611 | fb17621acd4b0626c80ba8e66e963518 | 7132 | 108.64.0.0/11 | SBIS-AS | US | ATT.COM | AT&T INTERNET SERVICES
109.123.83.130 | BRU | VABL | 20110606 | 8850509672ee7d983d9a511e31b13a9a | 13213 | 109.123.64.0/18 | UK2NET | UK | THECOUNTRYKITTEN.COM | UK2 - LTD
109.168.200.104 | ATK | HPOT | 20110818 | fb17621acd4b0626c80ba8e66e963518 | 34060 | 94.176.216.0/22 | TCCFR | RO | ELECTROSIM.RO | JUMP INTERNET SERVICES SRL
109.168.200.104 | ATK | HPOT | 20110818 | fb17621acd4b0626c80ba8e66e963518 | 34104 | 91.93.32.0/21 | GLOBAL | TR | TELETEKTELEKOM.COM | GLOBAL ILETISIM HIZMETLERI A.S
109.168.200.104 | ATK | HPOT | 20110819 | fb17621acd4b0626c80ba8e66e963518 | 34060 | 94.176.216.0/22 | TCCFR | RO | ELECTROSIM.RO | JUMP INTERNET SERVICES SRL
109.168.200.104 | ATK | HPOT | 20110819 | fb17621acd4b0626c80ba8e66e963518 | 34104 | 91.93.32.0/21 | GLOBAL | TR | TELETEKTELEKOM.COM | GLOBAL ILETISIM HIZMETLERI A.S
109.169.60.121 | BRU | VABL | 20110618 | bf85b024eec53c533630a4551d9f63a7 | 29761 | 109.169.60.0/23 | OC3-NETWORKS-AS-NUMB | US | BMTRADAGROUP.COM | RAPIDSWITCH LTD
109.169.60.121 | BRU | VABL | 20110621 | 8850509672ee7d983d9a511e31b13a9a | 29761 | 109.169.60.0/23 | OC3-NETWORKS-AS-NUMB | US | BMTRADAGROUP.COM | RAPIDSWITCH LTD
109.169.60.121 | BRU | VABL | 20110622 | bf85b024eec53c533630a4551d9f63a7 | 29761 | 109.169.60.0/23 | OC3-NETWORKS-AS-NUMB | US | BMTRADAGROUP.COM | RAPIDSWITCH LTD
109.169.60.121 | BRU | VABL | 20110711 | 8850509672ee7d983d9a511e31b13a9a | 29761 | 109.169.60.0/23 | OC3-NETWORKS-AS-NUMB | US | AIMSDESPATCH.COM | RAPIDSWITCH LTD
109.169.60.121 | BRU | VABL | 20110713 | 4fd0c880f8cbe31e4efc18890b4ac51a | 29761 | 109.169.60.0/23 | OC3-NETWORKS-AS-NUMB | US | AIMSDESPATCH.COM | RAPIDSWITCH LTD
